timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,4.18,5.25,4.18,4.7,1292,4.6647,140
2024-11-04,4.25,4.4,3.9,4.25,774,4.228,137
2024-11-05,4.5,4.6,4.1,4.25,3670,4.3052,136
2024-11-06,3.8,4.59,3.7,3.75,1910,3.965,135
2024-11-07,4.35,4.8,4.2,4.75,1644,4.4218,134
2024-11-08,4.9,4.9,4.33,4.55,722,4.5648,133
2024-11-11,3.99,4.15,3.4,4.0,1456,3.7147,130
2024-11-12,4.05,4.25,3.8,4.0,944,3.9321,129
2024-11-13,3.9,4.47,3.65,4.2,1140,4.0768,128
2024-11-14,4.25,5.1,4.1,4.95,2430,4.7319,127
2024-11-15,4.44,4.5,4.09,4.25,812,4.2449,126
2024-11-18,4.35,5.25,4.35,4.55,1980,5.0194,123
2024-11-19,4.51,5.3,4.51,4.78,302,5.0206,122
2024-11-20,5.22,5.22,4.45,4.95,503,4.7555,121
2024-11-21,5.0,5.28,4.35,5.0,482,4.6613,120
2024-11-22,5.05,5.3,4.85,5.1,1308,5.0167,119
2024-11-25,5.55,5.75,4.79,5.65,1186,5.2154,116
2024-11-26,5.75,6.36,5.75,6.2,1646,6.1234,115
2024-11-27,6.15,6.25,5.71,6.2,1690,6.04,114
2024-11-29,6.18,7.03,5.9,7.03,392,6.5482,112
2024-12-02,6.75,8.45,6.75,7.8,7200,7.698,109
2024-12-03,7.93,9.11,7.65,9.11,4326,8.5695,108
2024-12-04,9.5,9.66,8.5,9.15,3500,9.1826,107
2024-12-05,9.45,9.45,8.75,9.05,786,9.0955,106
2024-12-06,9.0,9.7,8.7,8.73,1242,9.0655,105
2024-12-09,8.3,11.2,8.3,10.9,3174,10.4954,102
2024-12-10,11.0,11.65,10.1,11.4,1464,11.1715,101
2024-12-11,11.7,13.22,10.64,10.64,2326,12.1819,100
2024-12-12,10.75,11.9,10.4,11.5,1548,11.3341,99
2024-12-13,11.56,12.15,10.38,11.5,2764,11.0048,98
2024-12-16,11.5,13.47,11.4,13.11,3126,12.5686,95
2024-12-17,13.0,15.05,12.65,14.8,2000,14.4701,94
2024-12-18,14.32,15.27,12.2,12.45,2868,13.6352,93
2024-12-19,11.76,14.1,11.35,13.4,1470,13.0293,92
2024-12-20,12.07,15.45,11.3,15.45,1944,13.4055,91
2024-12-23,15.52,16.0,14.47,15.4,948,15.1218,88
2024-12-24,15.35,17.1,15.35,17.1,2986,16.5579,87
2024-12-26,17.1,18.5,16.95,17.95,746,17.7116,85
2024-12-27,17.15,17.15,14.1,15.09,1158,14.6239,84
2024-12-30,13.65,13.74,12.56,13.16,1182,13.3035,81
2024-12-31,13.32,13.32,11.36,11.68,864,11.9727,80
2025-01-02,10.8,10.85,7.5,8.17,4132,8.6284,78
2025-01-03,7.89,8.15,7.25,7.7,3738,7.529,77
2025-01-06,7.8,9.35,7.8,8.25,2796,8.3607,74
2025-01-07,7.32,8.5,6.85,7.1,2856,7.2846,73
2025-01-08,7.0,7.8,6.4,7.15,2470,7.0534,72
2025-01-10,6.05,6.2,4.1,5.15,7454,4.9412,70
2025-01-13,4.0,4.14,3.2,4.1,4518,3.6424,67
2025-01-14,4.1,4.45,3.5,3.6,2594,3.9596,66
2025-01-15,4.05,4.7,4.05,4.35,6398,4.4238,65
2025-01-16,4.27,4.38,2.4,2.41,11322,2.9167,64
2025-01-17,3.1,3.1,2.22,2.49,11626,2.4415,63
2025-01-21,1.64,1.65,1.12,1.41,16962,1.3124,59
2025-01-22,1.14,1.87,1.12,1.85,16058,1.5194,58
2025-01-23,1.82,2.27,1.56,1.65,11974,1.9084,57
2025-01-24,1.82,1.89,1.43,1.63,7738,1.6004,56
2025-01-27,2.11,3.29,1.88,2.8,20502,2.6139,53
2025-01-28,2.98,5.9,2.98,5.05,15552,4.8502,52
2025-01-29,3.74,5.45,3.68,5.4,4020,4.4683,51
2025-01-30,5.0,5.68,4.4,4.5,10704,4.9557,50
2025-01-31,7.05,7.25,2.53,2.99,17470,4.0592,49
2025-02-03,1.92,2.2,1.17,1.44,15552,1.4427,46
2025-02-04,1.32,1.9,1.23,1.89,11900,1.6787,45
2025-02-05,1.25,1.72,1.21,1.71,6712,1.4313,44
2025-02-06,1.52,1.82,1.25,1.48,7190,1.4552,43
2025-02-07,1.44,1.56,0.92,0.95,14360,1.0447,42
2025-02-10,1.03,1.13,0.65,0.67,9282,0.8205,39
2025-02-11,0.76,1.85,0.76,1.27,20052,1.3927,38
2025-02-12,1.16,2.13,1.13,2.12,20912,1.6724,37
2025-02-13,2.12,3.69,1.83,3.35,32172,2.9184,36
2025-02-14,3.2,4.73,3.2,4.35,14386,4.1994,35
2025-02-18,4.07,4.55,3.1,3.95,12596,3.8805,31
2025-02-19,4.05,4.64,3.46,3.79,25769,3.9436,30
2025-02-20,3.8,4.65,3.65,4.0,13778,4.1413,29
2025-02-21,4.0,5.6,3.7,4.15,28728,4.5422,28
2025-02-24,3.7,5.81,3.6,5.0,13554,4.9473,25
2025-02-25,5.2,6.5,4.15,5.18,13352,5.3853,24
2025-02-26,4.0,4.0,1.99,2.17,22208,2.7141,23
2025-02-27,1.89,2.69,1.69,1.75,19094,2.2808,22
2025-02-28,1.61,2.41,1.2,2.22,13112,1.5136,21
2025-03-03,2.3,2.86,1.34,1.57,20862,1.9633,18
2025-03-04,1.57,2.27,1.14,1.31,14710,1.6231,17
2025-03-05,1.14,1.25,0.54,0.91,20366,0.8034,16
2025-03-06,0.87,1.41,0.8,1.1,17624,1.1225,15
2025-03-07,0.98,2.2,0.95,1.4,14154,1.632,14
2025-03-10,0.89,1.0,0.22,0.38,17202,0.3549,11
2025-03-11,0.2,0.27,0.11,0.13,7592,0.152,10
2025-03-12,0.09,0.1,0.05,0.06,9786,0.0627,9
2025-03-13,0.05,0.05,0.03,0.04,4252,0.0455,8
2025-03-14,0.04,0.04,0.01,0.01,6490,0.0256,7
2025-03-17,0.03,0.03,0.01,0.01,13750,0.0105,4
2025-03-18,0.01,0.01,0.01,0.01,430,0.01,3
2025-03-19,0.01,0.01,0.01,0.01,1806,0.01,2
2025-03-20,0.01,0.01,0.01,0.01,612,0.01,1
2025-03-21,0.01,0.01,0.01,0.01,352,0.01,0
