timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,16.15,16.4,14.5,15.43,34,15.6488,140
2024-11-04,16.27,16.3,15.58,16.25,94,16.1772,137
2024-11-05,15.25,15.25,15.25,15.25,2,15.25,136
2024-11-06,15.05,15.05,13.23,14.1,34,13.68,135
2024-11-07,12.64,12.65,11.25,11.49,260,11.9523,134
2024-11-08,10.68,11.42,10.68,11.4,566,11.0869,133
2024-11-11,12.15,14.19,12.15,13.78,452,13.8682,130
2024-11-12,12.55,13.25,12.25,12.65,316,12.7018,129
2024-11-13,13.1,13.45,11.6,11.95,380,12.7089,128
2024-11-14,12.0,12.15,10.6,10.82,570,11.2441,127
2024-11-15,11.6,13.1,11.6,12.61,434,12.4091,126
2024-11-18,11.65,11.75,10.2,11.0,1094,10.6273,123
2024-11-19,11.1,11.1,9.95,10.8,640,10.5695,122
2024-11-20,11.0,12.08,10.75,10.75,138,11.5339,121
2024-11-21,10.7,12.0,10.1,10.4,404,10.9939,120
2024-11-22,10.8,10.8,9.75,9.85,402,10.0569,119
2024-11-25,9.02,9.55,8.15,8.3,1112,8.7644,116
2024-11-26,7.75,7.78,7.21,7.35,794,7.4105,115
2024-11-27,7.35,7.82,7.15,7.45,1080,7.5805,114
2024-11-29,7.8,7.8,6.45,6.45,1098,6.8103,112
2024-12-02,6.0,6.25,5.61,5.97,888,5.8933,109
2024-12-03,6.02,6.03,5.1,5.1,768,5.3215,108
2024-12-04,4.95,5.25,4.79,4.9,800,5.0606,107
2024-12-05,4.7,5.15,4.7,4.99,378,4.948,106
2024-12-06,5.1,5.1,4.65,4.85,650,4.791,105
2024-12-09,5.1,5.1,4.05,4.31,1036,4.3111,102
2024-12-10,4.0,4.4,3.92,4.08,906,4.0994,101
2024-12-11,3.95,4.15,3.5,4.15,2434,3.5946,100
2024-12-12,4.18,4.35,3.8,3.95,1566,3.878,99
2024-12-13,3.92,4.25,3.75,3.94,710,4.0947,98
2024-12-16,3.6,3.75,3.49,3.55,2562,3.5496,95
2024-12-17,3.55,3.55,3.17,3.22,33096,3.3503,94
2024-12-18,3.4,4.85,3.1,4.65,5330,4.2541,93
2024-12-19,4.7,4.7,3.9,4.65,6994,4.2368,92
2024-12-20,5.09,5.3,3.25,3.25,7834,3.7414,91
2024-12-23,3.18,3.48,2.83,2.85,4754,3.1111,88
2024-12-24,2.8,2.8,2.5,2.5,2906,2.5215,87
2024-12-26,2.4,2.64,2.32,2.45,1792,2.4513,85
2024-12-27,2.7,3.3,2.62,2.85,1508,3.0693,84
2024-12-30,3.46,3.75,3.0,3.2,1768,3.5274,81
2024-12-31,3.15,3.7,3.15,3.51,2504,3.4182,80
2025-01-02,4.0,5.55,3.8,4.85,7950,5.2301,78
2025-01-03,5.05,5.3,4.5,4.6,1382,4.8166,77
2025-01-06,4.35,4.35,3.7,4.0,4602,3.9955,74
2025-01-07,4.2,5.1,3.9,4.8,6844,4.1875,73
2025-01-08,5.0,5.5,4.45,4.65,1236,4.893,72
2025-01-10,5.5,8.2,5.31,6.41,3224,6.8154,70
2025-01-13,8.3,9.5,7.0,7.05,13036,8.6899,67
2025-01-14,6.85,7.71,6.2,7.36,1532,7.0483,66
2025-01-15,6.53,6.53,5.0,5.06,1128,5.2826,65
2025-01-16,5.5,9.66,5.5,9.26,21886,8.3663,64
2025-01-17,7.79,9.05,7.4,8.74,1980,8.3059,63
2025-01-21,10.2,14.37,10.2,12.14,14076,13.604,59
2025-01-22,13.72,13.72,11.67,11.67,920,12.683,58
2025-01-23,11.31,12.35,9.95,12.05,544,11.1717,57
2025-01-24,10.81,12.65,10.63,12.3,642,12.1515,56
2025-01-27,11.11,11.11,7.6,8.59,4744,9.1927,53
2025-01-28,7.98,7.98,4.9,5.45,3470,5.5278,52
