timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,28.9,28.9,28.62,28.62,52,28.8419,140
2024-11-04,26.85,26.85,26.47,26.47,12,26.5333,137
2024-11-06,31.11,32.99,31.11,32.99,124,32.5248,135
2024-11-07,34.8,36.3,34.8,36.3,118,35.2798,134
2024-11-08,34.98,34.98,34.2,34.2,4,34.59,133
2024-11-11,34.97,35.4,34.97,35.4,8,35.185,130
2024-11-12,35.45,37.72,35.45,37.72,96,36.6302,129
2024-11-13,34.7,35.16,34.7,35.0,20,34.942,128
2024-11-14,30.72,31.55,30.72,31.55,12,31.4117,127
2024-11-15,30.0,30.0,28.15,28.36,70,28.5431,126
2024-11-18,29.65,30.6,29.65,30.6,80,30.485,123
2024-11-19,31.8,31.8,31.8,31.8,2,31.8,122
2024-11-20,30.47,30.47,30.28,30.28,6,30.4067,121
2024-11-21,24.75,24.75,22.26,24.5,86,22.9288,120
2024-11-22,23.5,23.5,22.65,22.85,86,23.0609,119
2024-11-25,25.0,25.07,24.54,24.7,202,24.9725,116
2024-11-26,25.15,25.84,24.7,25.83,14,25.5414,115
2024-11-27,25.2,25.6,25.2,25.6,10,25.348,114
2024-11-29,25.0,25.23,25.0,25.23,4,25.115,112
2024-12-02,26.6,27.5,26.6,27.5,10,27.04,109
2024-12-03,27.5,27.5,27.5,27.5,10,27.5,108
2024-12-04,28.6,29.59,28.6,29.59,12,29.0133,107
2024-12-05,29.23,29.24,29.23,29.24,40,29.2315,106
2024-12-06,30.1,30.1,30.1,30.1,6,30.1,105
2024-12-09,30.6,31.48,30.6,31.48,44,31.4227,102
2024-12-10,38.9,41.0,38.9,39.0,38,39.4916,101
2024-12-11,44.5,48.35,44.5,48.35,18,47.0789,100
2024-12-12,48.66,48.66,48.35,48.35,4,48.505,99
2024-12-13,45.7,46.07,44.83,46.07,10,45.59,98
2024-12-16,51.0,52.0,51.0,51.84,8,51.67,95
2024-12-17,53.0,53.32,51.62,52.0,48,52.1358,94
2024-12-18,48.5,48.5,46.19,46.19,90,48.4487,93
2024-12-19,45.55,45.55,44.71,44.71,8,45.13,92
2024-12-20,46.55,46.55,46.55,46.55,4,46.55,91
2024-12-23,46.15,47.67,45.93,47.67,12,46.73,88
2024-12-26,50.41,50.43,50.41,50.43,40,50.4115,85
2024-12-27,47.21,47.21,45.25,45.25,4,46.23,84
2024-12-30,44.1,45.0,44.1,44.65,36,44.6278,81
2024-12-31,44.0,44.0,44.0,44.0,40,44.0,80
2025-01-02,42.97,42.97,42.97,42.97,2,42.97,78
2025-01-03,46.5,46.5,45.75,45.75,10,46.07,77
2025-01-06,49.25,49.25,49.25,49.25,2,49.25,74
2025-01-08,47.75,47.75,47.3,47.3,6,47.45,72
2025-01-10,46.48,46.48,46.48,46.48,2,46.48,70
2025-01-14,42.75,42.75,42.75,42.75,2,42.75,66
2025-01-15,49.0,49.0,49.0,49.0,50,49.0,65
2025-01-17,47.74,49.98,47.74,49.81,10,49.464,63
2025-01-21,51.75,51.75,51.75,51.75,10,51.75,59
2025-01-22,52.15,52.87,51.7,51.7,30,52.664,58
2025-01-23,50.49,50.49,50.49,50.49,20,50.49,57
2025-01-24,52.5,53.3,52.47,53.25,30,52.8213,56
2025-01-27,46.5,46.5,44.6,44.6,8,45.5325,53
2025-01-28,48.0,48.0,48.0,48.0,2,48.0,52
2025-01-30,51.0,52.6,51.0,52.6,8,52.0275,50
2025-01-31,56.5,57.15,56.1,56.1,6,56.5833,49
2025-02-03,53.58,55.5,53.58,55.5,6,54.86,46
2025-02-04,58.1,58.85,58.1,58.85,72,58.8292,45
2025-02-05,41.35,44.0,41.15,43.25,68,42.5309,44
2025-02-06,43.95,43.95,43.95,43.95,2,43.95,43
2025-02-07,38.5,39.29,36.4,38.0,90,37.9062,42
2025-02-10,40.0,40.6,40.0,40.6,11,40.1636,39
2025-02-11,39.29,39.49,37.5,37.6,52,38.7096,38
2025-02-12,36.5,36.67,35.8,36.67,16,36.5188,37
2025-02-14,37.15,37.15,37.15,37.15,2,37.15,35
2025-02-18,36.0,36.16,34.69,35.12,34,35.6553,31
2025-02-19,37.1,37.1,37.1,37.1,2,37.1,30
2025-02-20,37.9,37.9,36.56,36.65,18,36.7189,29
2025-02-21,32.95,32.95,32.95,32.95,2,32.95,28
2025-02-25,28.54,29.5,27.7,29.5,52,29.2431,24
2025-02-26,27.25,27.75,24.95,25.35,4526,25.3576,23
2025-02-27,26.57,27.02,22.2,23.5,40,23.7665,22
2025-02-28,20.05,23.0,19.98,23.0,70,21.0746,21
2025-03-03,21.91,22.55,19.0,19.0,88,21.513,18
2025-03-04,19.3,24.8,19.05,23.14,290,21.2741,17
2025-03-05,22.35,25.85,22.15,25.85,72,25.1967,16
2025-03-07,25.7,27.0,23.4,26.22,418,25.764,14
2025-03-10,19.0,20.0,17.1,18.85,520,17.9299,11
2025-03-11,19.0,19.0,14.8,17.05,476,16.9867,10
2025-03-12,18.07,19.45,16.82,19.41,72,18.5236,9
2025-03-13,15.57,17.2,15.06,15.06,144,15.9771,8
2025-03-14,16.3,17.08,15.65,17.08,46,16.8926,7
2025-03-17,18.22,18.3,16.35,16.8,84,17.2748,4
2025-03-18,13.6,13.6,9.79,12.3,230,11.0175,3
2025-03-19,13.8,17.24,13.8,16.4,228,15.9137,2
2025-03-20,15.01,17.0,15.0,15.0,68,15.7103,1
2025-03-21,14.1,16.22,14.1,16.22,224,15.1498,0
