timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,20.34,20.34,20.34,20.34,2,20.34,140
2024-11-04,21.62,21.62,21.62,21.62,2,21.62,137
2024-11-06,16.6,16.6,16.6,16.6,6,16.6,135
2024-11-08,14.62,14.95,14.62,14.95,12,14.895,133
2024-11-12,13.95,14.4,13.25,13.33,388,13.8315,129
2024-11-13,14.35,14.63,14.31,14.62,28,14.4307,128
2024-11-14,15.43,17.35,15.43,16.86,18,16.6656,127
2024-11-15,18.33,18.33,18.33,18.33,2,18.33,126
2024-11-18,17.1,17.1,16.95,16.95,4,17.025,123
2024-11-19,14.85,14.85,14.85,14.85,2,14.85,122
2024-11-20,16.5,17.5,16.5,17.5,8,17.0,121
2024-11-21,22.9,23.3,22.9,23.3,4,23.1,120
2024-11-22,24.28,24.8,24.28,24.53,10,24.538,119
2024-11-25,23.33,23.33,23.33,23.33,2,23.33,116
2024-11-26,21.41,21.41,20.9,20.9,8,21.155,115
2024-12-02,19.0,19.05,19.0,19.05,6,19.0167,109
2024-12-05,17.48,17.95,17.48,17.95,12,17.5583,106
2024-12-06,17.13,17.13,17.13,17.13,10,17.13,105
2024-12-09,16.15,16.15,16.15,16.15,2,16.15,102
2024-12-10,12.0,12.1,11.15,11.38,38,11.7216,101
2024-12-11,8.79,9.63,8.0,8.15,207,8.6135,100
2024-12-12,8.4,8.65,7.7,8.65,62,8.111,99
2024-12-13,8.95,9.38,8.53,9.38,308,8.9996,98
2024-12-16,7.46,8.05,6.6,6.8,192,7.2247,95
2024-12-17,6.4,7.65,6.25,7.55,154,7.013,94
2024-12-18,7.2,10.9,7.2,10.3,254,8.3605,93
2024-12-19,9.5,11.0,8.8,11.0,272,9.8879,92
2024-12-20,12.29,12.29,8.65,8.75,302,10.284,91
2024-12-23,8.7,9.5,7.65,7.73,110,8.14,88
2024-12-24,7.0,7.0,6.68,6.68,14,6.84,87
2024-12-26,7.0,7.0,6.53,6.55,118,6.8207,85
