timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-12-30,21.8,21.8,21.8,21.8,2,21.8,81
2025-01-03,22.9,22.9,22.0,22.25,12,22.3833,77
2025-01-07,25.12,25.75,25.12,25.75,4,25.435,73
2025-01-08,22.1,22.1,22.1,22.1,6,22.1,72
2025-01-10,17.21,20.24,17.21,20.24,6,19.23,70
2025-01-14,17.2,17.2,17.2,17.2,4,17.2,66
2025-01-15,20.0,20.0,20.0,20.0,2,20.0,65
2025-01-16,20.11,20.11,20.11,20.11,2,20.11,64
2025-01-17,22.92,23.36,22.92,23.36,16,23.195,63
2025-01-22,20.75,20.75,20.75,20.75,4,20.75,58
2025-01-27,20.75,20.85,20.75,20.85,8,20.8,53
2025-01-28,23.0,23.0,23.0,23.0,30,23.0,52
2025-01-29,24.05,25.95,24.05,25.95,80,24.525,51
2025-01-30,54.19,54.19,50.95,50.95,4,52.57,50
2025-02-04,56.3,56.3,56.3,56.3,2,56.3,45
2025-02-07,49.05,49.05,47.05,47.05,494,47.7917,42
