timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,8.5,8.5,8.02,8.02,6,8.34,140
2024-11-04,8.97,8.97,8.97,8.97,20,8.97,137
2024-11-05,8.91,8.91,8.65,8.83,20,8.787,136
2024-11-06,7.0,7.0,6.35,6.35,58,6.5341,135
2024-11-07,6.32,6.32,6.25,6.25,12,6.285,134
2024-11-08,5.47,5.66,5.47,5.66,38,5.6458,133
2024-11-11,5.83,5.85,5.78,5.85,92,5.8348,130
2024-11-12,6.55,6.62,6.37,6.37,20,6.567,129
2024-11-13,6.25,6.25,6.25,6.25,6,6.25,128
2024-11-14,6.41,7.5,6.4,6.77,94,7.263,127
2024-11-15,7.1,7.1,7.1,7.1,4,7.1,126
2024-11-18,7.63,7.63,7.48,7.48,4,7.555,123
2024-11-19,7.45,7.5,6.32,6.32,8,7.18,122
2024-11-20,6.35,6.35,5.8,5.8,56,5.9929,121
2024-11-21,4.66,4.66,3.95,3.95,66,4.2985,120
2024-11-22,3.75,4.03,3.45,3.85,34,3.6394,119
2024-11-25,3.29,3.29,3.29,3.29,2,3.29,116
2024-11-26,2.67,2.77,2.59,2.59,12,2.7067,115
2024-11-27,2.66,3.15,2.66,3.1,26,2.9546,114
2024-11-29,2.45,2.49,2.45,2.49,6,2.4633,112
2024-12-02,2.84,2.84,2.66,2.66,4,2.75,109
2024-12-03,2.66,2.66,2.66,2.66,2,2.66,108
2024-12-04,2.3,2.3,2.06,2.09,120,2.1008,107
2024-12-05,2.0,2.0,1.78,1.92,22,1.9118,106
2024-12-06,1.78,1.78,1.72,1.72,4,1.75,105
2024-12-09,1.7,2.69,1.7,2.69,48,2.25,102
2024-12-10,2.42,2.42,2.35,2.35,6,2.3767,101
2024-12-11,2.81,2.81,2.81,2.81,2,2.81,100
2024-12-12,2.48,2.48,2.48,2.48,40,2.48,99
2024-12-13,2.67,2.83,2.67,2.83,12,2.7717,98
2024-12-16,2.7,3.2,2.7,3.2,1260,3.115,95
2024-12-17,3.05,3.05,2.99,2.99,12,3.04,94
2024-12-18,3.15,4.35,3.01,4.35,88,3.3252,93
2024-12-19,4.0,4.08,3.8,4.08,28,4.0,92
2024-12-20,4.49,4.49,3.2,3.3,62,3.5829,91
2024-12-23,3.75,4.05,3.75,3.9,56,3.9118,88
2024-12-24,3.7,3.7,3.15,3.15,184,3.2929,87
2024-12-26,3.05,3.05,2.95,3.05,8,3.0025,85
2024-12-27,3.54,3.85,3.54,3.7,216,3.738,84
2024-12-30,4.06,4.49,3.91,3.91,50,4.2352,81
2024-12-31,4.25,4.36,4.25,4.36,4,4.305,80
2025-01-02,4.5,4.65,4.45,4.65,42,4.5476,78
2025-01-03,3.55,3.55,3.55,3.55,6,3.55,77
2025-01-06,3.2,3.43,3.0,3.43,38,3.3311,74
2025-01-07,2.92,3.4,2.89,3.3,66,3.0282,73
2025-01-08,3.65,3.85,3.44,3.52,42,3.7167,72
2025-01-10,4.05,4.4,3.9,4.3,28,4.185,70
2025-01-13,5.05,5.05,4.45,4.51,22,4.63,67
2025-01-14,4.9,5.0,4.4,4.6,84,4.7524,66
2025-01-15,3.45,3.85,3.45,3.75,106,3.4698,65
2025-01-16,3.75,3.75,2.96,2.96,20,3.287,64
2025-01-17,2.64,2.64,2.4,2.4,18,2.5133,63
2025-01-21,2.25,2.7,2.11,2.56,92,2.4348,59
2025-01-22,2.93,3.05,2.61,2.77,78,2.9215,58
2025-01-23,2.49,2.54,2.31,2.37,108,2.477,57
2025-01-24,2.18,2.39,2.05,2.36,104,2.1702,56
2025-01-27,3.0,3.2,2.61,2.84,92,2.7967,53
2025-01-28,2.7,3.02,2.28,2.35,92,2.6507,52
2025-01-29,2.38,2.57,1.69,1.75,408,2.1884,51
2025-01-30,0.33,0.33,0.14,0.2,610,0.2243,50
2025-01-31,0.26,0.36,0.12,0.22,68,0.1788,49
2025-02-03,0.37,0.38,0.12,0.12,46,0.2291,46
2025-02-04,0.23,0.26,0.11,0.18,24,0.1742,45
2025-02-05,0.12,0.15,0.12,0.15,8,0.135,44
2025-02-06,0.12,0.22,0.12,0.19,42,0.169,43
2025-02-07,0.15,0.27,0.15,0.22,36,0.1733,42
2025-02-10,0.18,0.22,0.18,0.22,8,0.185,39
2025-02-11,0.14,0.15,0.13,0.15,10,0.14,38
2025-02-12,0.13,0.15,0.12,0.15,12,0.1333,37
2025-02-13,0.12,0.17,0.11,0.17,116,0.1636,36
2025-02-18,0.1,0.1,0.05,0.09,42,0.0838,31
2025-02-19,0.13,0.13,0.1,0.1,8,0.1125,30
2025-02-20,0.1,0.1,0.1,0.1,2,0.1,29
2025-02-21,0.11,0.11,0.11,0.11,10,0.11,28
2025-02-24,0.1,0.13,0.1,0.1,14,0.1214,25
2025-02-25,0.1,0.16,0.1,0.1,18,0.14,24
2025-02-26,0.1,0.16,0.1,0.16,10,0.148,23
2025-02-27,0.25,0.25,0.01,0.13,8,0.16,22
2025-02-28,0.17,0.17,0.14,0.15,10,0.15,21
2025-03-03,0.1,0.1,0.09,0.09,24,0.0917,18
2025-03-04,0.13,0.15,0.13,0.15,16,0.1325,17
2025-03-05,0.13,0.13,0.08,0.1,22,0.1009,16
2025-03-07,0.1,0.1,0.1,0.1,2,0.1,14
2025-03-10,0.09,0.1,0.08,0.08,28,0.0943,11
2025-03-11,0.12,0.12,0.12,0.12,18,0.12,10
2025-03-12,0.06,0.06,0.06,0.06,38,0.06,9
2025-03-13,0.78,0.78,0.12,0.12,24,0.23,8
2025-03-14,0.07,0.07,0.05,0.05,58,0.0641,7
2025-03-17,0.04,0.27,0.01,0.01,64,0.0334,4
2025-03-18,0.03,0.03,0.03,0.03,26,0.03,3
2025-03-19,0.01,0.01,0.01,0.01,2,0.01,2
2025-03-20,0.14,0.14,0.03,0.03,8,0.0575,1
2025-03-21,0.03,0.03,0.03,0.03,2,0.03,0
