timestamp,open,high,low,close,volume,time_to_expiration_days
2024-11-01,27.9,29.0,27.49,27.7,744,140
2024-11-04,28.65,30.05,27.91,27.91,468,137
2024-11-05,28.75,30.83,28.75,30.41,630,136
2024-11-06,32.7,35.25,32.3,34.51,1314,135
2024-11-07,35.07,36.81,35.07,36.8,1268,134
2024-11-08,37.1,37.13,34.65,35.4,616,133
2024-11-11,36.22,36.28,32.61,33.83,650,130
2024-11-12,35.1,37.5,34.75,36.16,752,129
2024-11-13,36.4,36.55,34.65,34.85,528,128
2024-11-14,35.0,36.7,34.3,34.8,444,127
2024-11-15,33.25,33.35,30.17,31.65,1320,126
2024-11-18,31.2,31.2,28.12,29.52,1572,123
2024-11-19,30.6,34.75,30.57,34.75,1084,122
2024-11-20,35.0,35.0,31.85,33.58,2272,121
2024-11-21,37.0,38.0,29.65,34.35,494,120
2024-11-22,34.3,34.3,29.9,30.2,838,119
2024-11-25,30.05,30.1,25.35,25.35,806,116
2024-11-26,27.5,27.5,24.65,25.45,800,115
2024-11-27,24.0,24.15,21.73,24.15,2336,114
2024-11-29,24.6,26.9,24.6,26.48,784,112
2024-12-02,26.25,27.85,25.8,25.82,1848,109
2024-12-03,26.55,27.5,25.87,27.35,312,108
2024-12-04,28.7,31.7,27.5,30.95,822,107
2024-12-05,31.21,32.15,30.5,31.27,168,106
2024-12-06,31.01,31.57,28.1,28.95,794,105
2024-12-09,24.5,26.95,24.5,26.3,718,102
2024-12-10,26.65,27.74,22.85,23.25,922,101
2024-12-11,25.1,27.05,23.6,26.28,37826,100
2024-12-12,24.63,25.45,24.0,24.85,254,99
2024-12-13,26.15,26.15,21.62,22.5,3530,98
2024-12-16,22.1,22.1,20.12,21.23,4896,95
2024-12-17,19.1,21.0,18.0,20.0,4670,94
2024-12-18,22.48,24.45,19.4,19.75,1318,93
2024-12-19,21.45,23.25,20.29,21.34,3240,92
2024-12-20,20.55,23.65,19.45,22.25,5900,91
2024-12-23,24.65,26.71,23.6,26.7,1200,88
2024-12-24,26.59,28.15,26.35,26.65,582,87
2024-12-26,26.39,27.17,25.1,26.77,330,85
2024-12-27,25.55,25.55,22.85,24.4,2664,84
2024-12-30,23.0,26.5,22.25,24.75,1212,81
2024-12-31,24.8,24.8,21.9,22.1,792,80
2025-01-02,24.0,25.25,22.85,24.8,996,78
2025-01-03,26.21,30.15,26.21,29.86,4514,77
2025-01-06,33.46,36.5,32.94,33.78,1728,74
2025-01-07,37.15,37.15,26.25,26.25,4988,73
2025-01-08,28.5,29.17,24.4,25.7,1366,72
2025-01-10,22.6,23.6,21.5,22.43,2286,70
2025-01-13,18.15,20.16,18.0,20.02,4188,67
2025-01-14,22.1,22.15,17.75,18.75,1848,66
2025-01-15,20.0,21.73,18.7,21.73,2190,65
2025-01-16,23.45,23.52,19.45,19.8,3314,64
2025-01-17,21.33,22.95,20.87,22.27,2132,63
2025-01-21,23.35,25.33,21.7,24.85,1374,59
2025-01-22,27.85,30.6,27.15,30.0,9322,58
2025-01-23,28.05,30.0,27.15,30.0,556,57
2025-01-24,30.93,31.4,25.55,26.1,1366,56
2025-01-27,13.65,16.85,10.4,11.1,49105,53
2025-01-28,12.45,16.33,9.75,16.0,28357,52
2025-01-29,14.55,14.7,11.7,14.65,27617,51
2025-01-30,13.75,15.65,11.9,15.6,166193,50
2025-01-31,14.9,16.6,12.1,12.45,19642,49
2025-02-03,9.8,11.1,9.0,10.2,27164,46
2025-02-04,10.3,12.32,10.1,10.38,19325,45
2025-02-05,12.0,13.6,11.4,13.6,19870,44
2025-02-06,15.15,15.61,13.7,15.55,9444,43
2025-02-07,15.87,16.6,14.95,16.59,7602,42
2025-02-10,16.45,19.67,16.45,18.48,3177,39
2025-02-11,17.5,19.07,16.7,17.76,6432,38
2025-02-12,15.85,17.35,15.3,16.5,7586,37
2025-02-13,16.7,20.4,16.59,19.57,4522,36
2025-02-14,20.3,22.45,19.95,22.05,8918,35
2025-02-18,24.05,26.0,21.3,22.15,4875,31
2025-02-19,22.5,23.75,20.74,22.1,2918,30
2025-02-20,22.75,23.0,20.35,22.65,4162,29
2025-02-21,22.3,23.63,18.1,18.45,2596,28
2025-02-24,20.08,21.35,15.73,15.75,6782,25
2025-02-25,15.4,15.5,12.42,13.4,8737,24
2025-02-26,15.47,17.9,14.5,15.95,10805,23
2025-02-27,17.31,17.31,7.6,7.6,20697,22
2025-02-28,6.65,9.9,5.7,9.81,46673,21
2025-03-03,8.8,9.35,4.14,4.5,70874,18
2025-03-04,3.5,6.55,3.35,5.35,57441,17
2025-03-05,5.9,6.1,4.55,5.3,42766,16
2025-03-06,3.75,4.28,2.66,2.67,40068,15
2025-03-07,2.69,3.15,1.75,2.94,58886,14
2025-03-10,2.18,2.62,1.24,1.54,130925,11
2025-03-11,1.5,2.37,1.14,1.61,112355,10
2025-03-12,2.81,3.87,2.47,3.2,149791,9
2025-03-13,3.6,3.9,2.26,2.72,172608,8
2025-03-14,3.7,5.15,3.45,4.9,200114,7
2025-03-17,5.45,5.56,2.81,3.36,268491,4
2025-03-18,2.69,3.0,1.03,1.11,395878,3
2025-03-19,1.56,2.15,0.88,0.94,401272,2
2025-03-20,0.61,1.56,0.48,0.61,482797,1
2025-03-21,0.25,0.29,0.01,0.01,270940,0
