timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,10.6,11.95,10.6,11.2,500,11.2137,140
2024-11-04,11.25,11.25,10.55,10.85,36,10.75,137
2024-11-05,11.35,11.45,11.35,11.4,292,11.4209,136
2024-11-06,15.19,16.85,15.19,16.2,266,16.2011,135
2024-11-07,16.1,18.27,16.1,18.27,122,17.378,134
2024-11-08,20.83,21.8,20.65,21.63,124,21.2473,133
2024-11-11,22.63,22.63,20.45,20.45,128,20.6641,130
2024-11-12,20.93,22.1,20.93,21.6,22,21.4118,129
2024-11-13,22.13,22.8,21.65,21.75,120,22.0213,128
2024-11-14,20.24,20.4,20.0,20.04,26,20.1285,127
2024-11-15,18.54,18.54,17.65,17.8,24,17.8492,126
2024-11-18,18.89,18.89,18.6,18.7,66,18.6721,123
2024-11-19,18.65,21.03,18.65,21.01,178,20.5157,122
2024-11-20,21.4,22.65,21.35,22.65,70,21.9443,121
2024-11-21,23.0,26.25,23.0,25.0,158,25.6462,120
2024-11-22,24.55,24.55,22.85,23.5,38,24.2079,119
2024-11-25,21.8,21.8,20.75,20.75,26,21.6692,116
2024-11-26,22.7,22.7,21.73,21.85,36,22.1656,115
2024-11-27,16.9,16.9,16.75,16.75,10,16.79,114
2024-11-29,17.48,17.48,17.43,17.43,20,17.44,112
2024-12-02,16.5,16.69,15.8,15.82,76,16.0839,109
2024-12-03,15.71,16.55,15.71,16.55,100,15.9514,108
2024-12-04,18.5,20.73,18.5,20.3,234,20.0256,107
2024-12-05,19.64,20.12,18.69,18.75,108,19.8591,106
2024-12-06,20.04,22.8,20.04,22.52,406,21.8572,105
2024-12-09,25.0,25.0,20.5,22.07,846,21.6809,102
2024-12-10,9.6,11.55,9.15,11.15,1624,10.4882,101
2024-12-11,12.38,13.67,10.15,12.35,549,12.0724,100
2024-12-12,10.99,11.65,10.4,10.81,664,10.8238,99
2024-12-13,10.5,10.5,8.85,9.51,3052,9.2361,98
2024-12-16,9.75,9.75,8.43,8.45,464,8.8128,95
2024-12-17,8.1,9.25,7.75,7.9,332,8.1738,94
2024-12-18,7.2,8.3,6.55,6.55,428,7.2474,93
2024-12-19,7.55,8.6,7.55,8.17,1102,8.1719,92
2024-12-20,7.6,8.32,6.8,7.72,1208,7.9756,91
2024-12-23,7.01,7.05,6.65,7.02,318,6.7406,88
2024-12-24,7.15,7.91,7.15,7.7,126,7.527,87
2024-12-26,7.59,8.05,7.55,7.65,154,7.829,85
2024-12-27,6.54,6.54,6.1,6.5,154,6.3257,84
2024-12-30,5.71,5.93,5.15,5.82,230,5.4617,81
2024-12-31,5.7,5.7,5.25,5.42,136,5.4335,80
2025-01-02,5.4,5.86,5.07,5.07,192,5.4155,78
2025-01-03,5.3,5.3,5.0,5.02,330,5.1197,77
2025-01-06,5.4,5.5,4.8,4.8,570,5.1865,74
2025-01-07,4.6,4.6,3.75,3.85,104,4.1856,73
2025-01-08,3.95,4.3,3.8,4.25,72,4.0622,72
2025-01-10,3.74,3.74,2.4,2.41,374,2.603,70
2025-01-13,2.1,2.29,2.03,2.18,280,2.1561,67
2025-01-14,2.6,2.83,2.4,2.64,174,2.6234,66
2025-01-15,3.1,3.1,2.7,2.84,204,2.8752,65
2025-01-16,3.05,3.45,2.95,3.15,6692,3.1014,64
2025-01-17,3.8,3.8,3.2,3.25,4948,3.3268,63
2025-01-21,3.5,8.3,3.5,8.1,2372,6.2678,59
2025-01-22,17.97,18.03,12.65,14.14,4126,14.3844,58
2025-01-23,12.53,15.15,12.53,14.7,1520,14.1165,57
2025-01-24,16.05,16.05,11.8,12.9,442,13.0919,56
2025-01-27,6.3,7.55,2.94,4.0,13816,5.4486,53
2025-01-28,4.6,5.45,3.5,4.7,4896,4.634,52
2025-01-29,4.2,4.55,3.65,4.5,752,4.0092,51
2025-01-30,4.8,7.6,4.8,7.2,3686,6.6208,50
2025-01-31,7.15,8.05,6.55,7.25,1954,7.2403,49
2025-02-03,5.15,6.85,4.5,6.65,1812,5.6413,46
2025-02-04,7.01,7.01,5.65,6.1,862,6.1103,45
2025-02-05,6.46,7.5,6.46,7.45,632,7.1025,44
2025-02-06,7.1,9.0,7.1,7.5,1322,8.1062,43
2025-02-07,8.6,9.6,7.95,8.5,6004,8.9431,42
2025-02-10,8.4,11.0,8.4,10.28,644,9.9649,39
2025-02-11,10.25,10.37,8.97,9.08,628,9.5711,38
2025-02-12,7.55,7.61,6.4,6.97,554,7.0935,37
2025-02-13,7.25,7.75,6.99,7.61,714,7.2534,36
2025-02-14,7.6,7.85,6.91,7.48,514,7.2268,35
2025-02-18,9.0,11.54,8.3,10.05,712,9.9703,31
2025-02-19,9.76,10.9,8.05,10.9,468,9.4246,30
2025-02-20,9.8,9.8,7.7,8.05,678,8.4024,29
2025-02-21,7.3,7.4,4.85,4.85,1078,6.116,28
2025-02-24,7.0,7.0,4.16,5.7,1404,5.4644,25
2025-02-25,5.69,5.7,4.02,4.95,1332,4.4718,24
2025-02-26,5.8,7.0,5.8,6.73,704,6.6621,23
2025-02-27,7.0,7.27,3.95,3.96,1582,4.9981,22
2025-02-28,3.36,3.95,2.81,3.95,818,3.2236,21
2025-03-03,4.03,4.25,2.6,2.6,318,3.2916,18
2025-03-04,2.14,2.2,1.36,1.75,614,1.6124,17
2025-03-05,2.0,2.5,1.8,2.4,222,2.2156,16
