timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,12.85,12.85,12.02,12.7,384,12.5009,140
2024-11-04,13.2,13.3,13.2,13.3,42,13.2952,137
2024-11-05,12.15,12.15,12.15,12.15,2,12.15,136
2024-11-06,8.7,8.75,8.25,8.55,128,8.5344,135
2024-11-07,8.05,8.05,6.75,6.78,50,7.4304,134
2024-11-08,6.35,6.35,6.0,6.15,120,6.0952,133
2024-11-11,5.69,6.26,5.69,6.15,188,6.0496,130
2024-11-12,6.3,6.35,5.9,5.9,48,6.2271,129
2024-11-13,5.91,6.0,5.91,5.95,32,5.9538,128
2024-11-14,6.33,6.6,6.33,6.6,68,6.5241,127
2024-11-15,7.16,7.95,7.16,7.9,306,7.6486,126
2024-11-18,7.21,7.21,7.21,7.21,2,7.21,123
2024-11-19,7.27,7.27,7.27,7.27,2,7.27,122
2024-11-20,6.3,6.3,6.0,6.0,38,6.0789,121
2024-11-21,5.3,5.65,5.1,5.61,510,5.4684,120
2024-11-22,5.3,5.65,5.3,5.65,12,5.5917,119
2024-11-25,5.4,5.92,5.4,5.92,78,5.6574,116
2024-11-26,5.75,5.75,5.65,5.65,100,5.736,115
2024-11-27,7.53,7.58,7.45,7.52,52,7.5092,114
2024-11-29,7.1,7.1,7.1,7.1,2,7.1,112
2024-12-02,7.81,8.0,7.5,7.95,90,7.9591,109
2024-12-03,7.75,7.76,7.6,7.63,484,7.7433,108
2024-12-04,5.9,5.95,5.72,5.72,58,5.8479,107
2024-12-05,6.15,6.75,6.15,6.7,70,6.4057,106
2024-12-06,5.96,5.96,5.15,5.25,92,5.4159,105
2024-12-09,4.36,6.01,4.36,5.3,786,5.8515,102
2024-12-10,9.83,9.83,7.0,7.45,1050,7.7876,101
2024-12-11,6.8,7.65,6.1,6.87,123,6.6319,100
2024-12-12,7.25,8.4,7.25,8.3,2094,7.4801,99
2024-12-13,8.0,9.34,8.0,9.07,232,9.0327,98
2024-12-16,8.84,9.67,8.84,9.45,248,8.9938,95
2024-12-17,10.05,10.64,9.15,10.2,282,9.4473,94
2024-12-18,10.85,12.6,9.8,12.6,130,11.7151,93
2024-12-19,11.1,11.31,10.25,11.31,260,10.8493,92
2024-12-20,11.4,11.4,9.83,10.41,80,10.4663,91
2024-12-23,10.95,11.4,10.5,10.5,268,11.3417,88
2024-12-26,9.3,9.3,8.72,9.05,138,8.9035,85
2024-12-27,9.7,11.2,9.7,10.53,56,10.7261,84
2024-12-30,11.72,12.04,10.84,10.84,44,11.1818,81
2024-12-31,11.36,11.6,11.25,11.35,208,11.4148,80
2025-01-02,11.23,12.15,10.2,11.48,250,11.5096,78
2025-01-03,11.17,11.45,11.15,11.15,812,11.3278,77
2025-01-06,11.05,11.82,10.65,11.7,72,10.8767,74
2025-01-07,13.11,13.6,13.05,13.35,1916,13.1092,73
2025-01-08,13.7,13.75,12.89,12.89,50,13.2596,72
2025-01-10,15.82,19.0,15.82,19.0,162,18.0789,70
2025-01-13,19.94,19.94,19.2,19.71,30,19.564,67
2025-01-14,17.23,18.55,17.1,17.45,44,17.6514,66
2025-01-15,15.47,15.5,15.3,15.48,40,15.414,65
2025-01-16,14.56,14.56,13.72,13.9,154,13.8873,64
2025-01-17,13.46,13.46,13.05,13.05,324,13.0544,63
2025-01-21,11.4,12.3,8.2,8.4,1504,8.9304,59
2025-01-22,3.6,6.09,2.9,4.8,2288,4.9063,58
2025-01-23,5.07,5.07,3.9,4.1,3136,4.1524,57
2025-01-24,4.14,4.75,4.05,4.35,2894,4.2774,56
2025-01-27,8.85,20.07,8.75,19.75,1118,11.8718,53
2025-01-28,15.5,17.08,12.0,12.9,94,13.6774,52
2025-01-29,14.9,15.05,14.09,14.1,72,14.6056,51
2025-01-30,12.79,12.79,9.36,9.83,434,9.8883,50
2025-01-31,9.8,10.62,8.78,10.62,142,9.5239,49
