timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,4.85,4.85,4.15,4.4,246,4.4929,140
2024-11-04,4.05,4.4,3.55,3.78,276,3.8209,137
2024-11-05,4.25,5.05,4.21,4.7,570,4.7271,136
2024-11-06,8.8,12.45,8.2,11.65,4086,10.8763,135
2024-11-07,11.54,14.1,10.65,12.76,2950,13.1802,134
2024-11-08,13.05,26.4,13.05,21.2,10666,20.2279,133
2024-11-11,31.4,41.05,27.7,35.35,18130,34.3405,130
2024-11-12,31.3,33.35,22.15,23.8,7588,28.6987,129
2024-11-13,26.75,31.0,21.35,25.05,3246,25.5232,128
2024-11-14,23.55,24.01,17.7,17.9,4982,20.5703,127
2024-11-15,17.95,23.83,17.4,22.02,3766,21.0635,126
2024-11-18,30.25,35.5,25.25,29.56,6138,31.9837,123
2024-11-19,28.4,34.0,26.35,32.8,2984,31.2758,122
2024-11-20,32.2,32.95,28.15,31.2,2156,30.2874,121
2024-11-21,32.3,33.85,28.4,29.4,2418,30.9754,120
2024-11-22,30.5,37.75,28.15,35.2,3433,34.4879,119
2024-11-25,38.65,39.5,26.96,27.0,4452,33.5193,116
2024-11-26,27.55,29.0,23.45,24.15,2652,26.3192,115
2024-11-27,25.8,25.8,19.5,20.85,2136,21.5918,114
2024-11-29,21.55,25.42,21.4,25.3,1322,23.1077,112
2024-12-02,28.85,33.07,28.68,31.67,4224,30.7656,109
2024-12-03,29.15,30.5,26.14,27.5,2216,28.0569,108
2024-12-04,28.15,31.0,26.22,30.55,2398,27.6208,107
2024-12-05,31.85,40.4,31.74,37.55,7090,37.8993,106
2024-12-06,42.0,49.45,38.65,49.01,9568,44.0541,105
2024-12-09,54.3,58.55,43.5,50.1,8588,49.8962,102
2024-12-10,51.65,62.07,50.5,56.37,5886,57.5147,101
2024-12-11,67.6,71.45,57.09,71.43,2884,65.644,100
2024-12-12,71.49,75.05,65.0,67.05,5918,69.706,99
2024-12-13,68.05,79.57,65.04,79.57,2676,73.72,98
2024-12-16,82.85,100.33,80.0,100.0,2896,93.3035,95
2024-12-17,110.1,117.0,98.56,113.51,1724,108.5479,94
2024-12-18,101.65,120.05,76.58,84.05,1486,94.4922,93
2024-12-19,90.25,92.35,70.15,81.0,2038,79.1614,92
2024-12-20,73.95,86.65,69.0,69.2,1564,76.9395,91
2024-12-23,72.8,75.84,64.9,73.35,810,72.0777,88
2024-12-24,76.77,96.0,76.77,95.96,608,87.8711,87
2024-12-26,98.0,98.0,87.17,90.0,308,91.8263,85
2024-12-27,84.4,85.0,70.0,71.95,962,73.6794,84
2024-12-30,64.5,68.45,61.23,61.5,1062,64.0084,81
2024-12-31,64.88,64.88,51.0,51.73,1616,56.0651,80
2025-01-02,43.65,44.12,33.0,35.8,7548,36.4484,78
2025-01-03,36.6,53.7,36.1,53.0,9764,44.9673,77
2025-01-06,60.8,64.0,48.05,53.3,1902,55.0198,74
2025-01-07,49.76,55.56,40.9,43.29,5546,44.213,73
2025-01-08,42.65,47.45,38.96,42.05,2827,43.464,72
2025-01-10,40.27,43.85,36.54,41.0,2070,40.6189,70
2025-01-13,35.74,45.9,33.8,45.9,2454,39.9226,67
2025-01-14,52.55,58.65,40.8,41.6,29360,48.0538,66
2025-01-15,48.95,62.1,46.15,60.9,3816,54.1406,65
2025-01-16,57.25,57.25,48.0,50.65,1562,51.558,64
2025-01-17,55.61,67.9,53.95,59.2,3066,61.8936,63
2025-01-21,59.4,59.4,44.77,55.2,2348,50.946,59
2025-01-22,50.9,57.69,48.5,48.5,1728,52.5625,58
2025-01-23,48.8,52.0,44.3,45.75,1266,46.9591,57
2025-01-24,47.1,48.79,40.9,41.35,1258,44.3232,56
2025-01-27,35.15,41.1,32.0,35.7,3820,36.2814,53
2025-01-28,35.4,38.65,29.95,37.15,4016,34.2993,52
2025-01-29,35.46,36.3,30.32,31.35,5466,32.8618,51
2025-01-30,39.4,41.4,26.5,33.88,9540,33.1686,50
2025-01-31,34.75,45.5,34.45,35.62,6166,40.7221,49
2025-02-03,26.7,27.98,22.0,24.6,7008,24.3284,46
2025-02-04,23.9,28.3,22.5,27.4,7102,25.3218,45
2025-02-05,24.75,25.05,19.6,20.39,6758,21.6282,44
2025-02-06,18.4,19.05,14.3,16.7,13726,16.0348,43
2025-02-07,15.16,18.78,11.9,12.2,14700,14.1313,42
2025-02-10,10.45,11.89,8.8,9.12,7328,10.1746,39
2025-02-11,8.0,8.35,5.15,5.39,31544,6.7476,38
2025-02-12,5.45,7.85,5.1,6.1,15180,6.6202,37
2025-02-13,7.75,11.41,7.2,10.15,21056,9.5816,36
2025-02-14,11.25,11.8,8.05,9.2,18010,9.0794,35
2025-02-18,8.8,9.8,6.7,7.4,21832,8.0161,31
2025-02-19,7.3,12.0,7.3,8.64,14664,9.909,30
2025-02-20,8.9,8.9,5.81,6.35,14658,6.6648,29
2025-02-21,6.15,6.24,3.03,3.26,23760,4.1061,28
2025-02-24,3.2,3.95,2.25,2.6,14958,2.7604,25
2025-02-25,2.27,2.3,0.88,1.14,28211,1.1463,24
2025-02-26,1.14,1.31,0.65,0.77,16456,0.9361,23
2025-02-27,0.72,0.86,0.54,0.6,5662,0.6732,22
2025-02-28,0.5,0.86,0.5,0.8,7594,0.7226,21
2025-03-03,0.93,1.02,0.4,0.43,9101,0.7044,18
2025-03-04,0.32,0.44,0.2,0.34,10574,0.2804,17
2025-03-05,0.3,0.44,0.26,0.37,9903,0.3126,16
2025-03-06,0.28,0.31,0.16,0.19,25569,0.1883,15
2025-03-07,0.16,0.2,0.09,0.12,12319,0.1363,14
2025-03-10,0.14,0.14,0.04,0.07,6176,0.0648,11
2025-03-11,0.07,0.08,0.03,0.06,4114,0.0531,10
2025-03-12,0.08,0.08,0.02,0.03,6396,0.0505,9
2025-03-13,0.03,0.03,0.01,0.03,4076,0.023,8
2025-03-14,0.03,0.03,0.01,0.01,4652,0.0174,7
2025-03-17,0.01,0.01,0.01,0.01,298,0.01,4
2025-03-18,0.01,0.01,0.01,0.01,414,0.01,3
2025-03-19,0.01,0.02,0.01,0.01,112,0.0102,2
2025-03-20,0.01,0.01,0.01,0.01,164,0.01,1
2025-03-21,0.01,0.01,0.01,0.01,278,0.01,0
