timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2024-11-01,29.7,31.43,28.8,30.65,1312,29.7316,140
2024-11-04,35.0,35.0,31.15,33.35,756,33.086,137
2024-11-05,30.4,30.4,28.0,29.5,2384,29.087,136
2024-11-06,19.4,20.73,17.52,17.85,474,18.6436,135
2024-11-07,17.55,18.15,14.75,14.92,618,15.6508,134
2024-11-08,14.12,14.35,10.8,11.37,1000,12.1756,133
2024-11-11,10.0,10.0,8.55,8.75,1464,9.1721,130
2024-11-12,9.5,10.75,9.2,9.85,624,9.8253,129
2024-11-13,9.0,10.5,8.25,9.7,240,9.4454,128
2024-11-14,10.4,12.5,9.55,12.42,458,11.4436,127
2024-11-15,12.45,12.53,11.25,11.75,770,12.0688,126
2024-11-18,9.53,10.07,9.3,9.55,1280,9.6706,123
2024-11-19,9.6,9.6,8.88,8.88,92,9.1959,122
2024-11-20,8.95,10.05,8.85,9.47,140,9.765,121
2024-11-21,9.12,10.15,8.9,9.4,2910,9.6384,120
2024-11-22,9.2,9.5,8.2,8.3,372,8.3339,119
2024-11-25,7.67,8.5,7.45,8.5,362,7.8883,116
2024-11-26,8.2,8.2,7.15,7.48,2134,7.4956,115
2024-11-27,7.25,8.64,7.0,7.64,1336,7.8428,114
2024-11-29,7.13,7.13,6.5,6.5,384,6.7733,112
2024-12-02,5.73,6.05,5.6,5.73,660,5.7014,109
2024-12-03,6.05,6.05,5.6,5.81,362,5.7709,108
2024-12-04,5.45,5.67,5.28,5.44,190,5.4651,107
2024-12-05,5.2,5.3,4.46,4.85,322,4.6942,106
2024-12-06,4.61,4.79,4.33,4.33,862,4.6306,105
2024-12-09,4.0,4.81,3.84,4.39,398,4.3504,102
2024-12-10,4.3,4.3,3.48,3.8,668,3.7268,101
2024-12-11,3.2,3.65,3.2,3.2,412,3.3503,100
2024-12-12,3.2,3.55,3.1,3.43,558,3.3327,99
2024-12-13,3.35,3.4,3.2,3.2,244,3.3006,98
